id,title,genres,popularity,release_date,budget,revenue,vote_average
13051,Max Payne,Crime-Action-Drama-Thriller,16.159,2008/10/15,35000000,85416905,5.3
286567,Max Steel,Action-Adventure-Science Fiction,32.515,2016/10/14,10000000,6272403,5.6
10861,Maximum Risk,Action-Thriller,12.008,1996/9/13,25000000,51702483,5.6
10894,May,Horror-Drama-Comedy,7.262,2003/6/3,500000,150277,6.5
394684,May God Save Us,Thriller-Crime-Action,12.632,2016/10/28,4000000,1598584,6.7
309174,Mayday! ?berfall auf hoher See,Thriller,1.371,2001/8/9,200000,500000,10
920425,MayFlys,Drama-Thriller,1.4,2019/1/15,7300,1200,0
336843,Maze Runner: The Death Cure,Science Fiction-Action-Adventure-Thriller,74.249,2018/1/10,62000000,288175335,7.1
294254,Maze Runner: The Scorch Trials,Science Fiction-Action-Thriller-Adventure,96.486,2015/9/9,61000000,312296056,6.7
640344,Me Against You: Mr. S's Vendetta,Comedy-Family,7.294,2020/1/17,75000,9500000,8.3
1935,Me and My Sister,Drama-Comedy,4.589,2004/11/21,4277280,10467048,5.5
12404,Me and Orson Welles,Comedy-Drama-Romance,7.322,2009/11/25,25000000,2336172,6.3
296096,Me Before You,Drama-Romance,135.198,2016/6/1,20000000,207945075,7.9
45765,Me Too,Drama,2.319,2009/10/16,2000000,2149113,6.9
14408,Me Two,Comedy-Science Fiction,3.451,2008/6/18,5105644,2180120,5.4
738178,Me Within,Mystery-Drama,0.6,2020/8/30,1,1,0
2123,"Me, Myself & Irene",Comedy,36.894,2000/6/22,51000000,149270999,6.6
82103,"Me, You, Them",Drama-Romance,2.774,2000/8/17,1900000,560943,7.1
12281,Mean Creek,Crime-Drama,7.492,2004/1/15,500000,603943,6.9
10625,Mean Girls,Comedy,57.126,2004/4/30,17000000,129042871,7.2
278924,Mechanic: Resurrection,Action-Crime-Thriller,51.538,2016/8/25,40000000,125729635,5.9
9096,Medicine Man,Adventure-Drama,9.242,1992/2/7,40000000,45500797,6
456617,Medium Rare,Crime-Thriller,1.171,1991/11/28,900000,80000,0
13243,Meet Bill,Comedy-Drama-Romance,10.163,2007/9/7,5000000,346592,6.1
11260,Meet Dave,Comedy-Science Fiction-Adventure-Family,38.545,2008/7/8,60000000,50650079,5.3
297,Meet Joe Black,Fantasy-Drama-Romance,42.853,1998/11/12,90000000,142940100,7.2
56928,Meet Monica Velour,Comedy-Drama-Romance,6.738,2010/6/4,5000000,33042,5.2
76516,Meet the Applegates,Comedy-Fantasy,2.445,1990/11/8,5000000,485772,5.5
377587,Meet the Blacks,Comedy-Horror,11.481,2016/4/1,900000,9097072,4.8
